ASCII, label, longitude, latitude, type
Belchatow,Bełchatów,19.3267,51.2659,power plant
Berlin,Berlin,13.407696,52.516984,city
Boxberg,Boxberg,14.5746955872,51.4164924622,power plant
Chvaletice,Chvaletice,15.443743797083094,50.01838901132982,power plant
Dolna Odra,Dolna Odra,14.466333,53.205776,power plant
Hamburg,Hamburg, 10.001389, 53.565278,city
Heyden,Heyden,8.988629531406984,52.385997856504865,power plant
Janschwalde,Jänschwalde,14.4534902573,51.841545105,power plant
Lipetsk,Lipetsk,39.6196,52.5603,steel plant
Lippendorf,Lippendorf,12.3712453842,51.1874504089,power plant
Matimba,Matimba & Medupi,27.610556,-23.668333,power plant
Melnik,Mělník,14.41942401738856,50.410455288399355,power plant
Opole,Opole,17.882273320866638,50.74892801373274,power plant
Patnow,Patnów,18.2375602722,52.3044433594,power plant
Paris,Paris,2.352222,48.856667,city
Pocerady,Počerady,13.683343307504192,50.4247541197537,power plant
Prague,Prague,14.416667,50.083333,city
Prunerov,Prunéřov,13.259378168484044,50.41673024911683,power plant
Schkopau,Schkopau,11.949723923708794,51.3948184266901,power plant
Schwarze Pumpe,Schwarze Pumpe,14.3610925674,51.534286499,power plant
Staudinger,Staudinger,8.957290411853883,50.0855413919897,power plant
Turow,Turów,14.9112815857,50.9428253174,power plant